week_ending,sym,close,score,qual
2024-07-05,20MICRONS,224.72,6,True
2024-07-12,20MICRONS,218.36,4,True
2024-07-19,20MICRONS,216.27,5,True
2024-07-26,20MICRONS,257.57,6,True
2024-08-02,20MICRONS,287.75,6,True
2024-08-09,20MICRONS,326.9,6,True
2024-08-16,20MICRONS,296.5,5,True
2024-08-23,20MICRONS,339.0,6,True
2024-08-30,20MICRONS,316.5,4,True
2024-09-06,20MICRONS,317.85,4,True
2024-09-13,20MICRONS,308.6,3,True
2024-09-20,20MICRONS,301.65,4,True
2024-09-27,20MICRONS,296.65,3,True
2024-10-04,20MICRONS,276.65,2,True
2024-10-11,20MICRONS,265.0,2,True
2024-10-18,20MICRONS,306.45,6,True
2024-10-25,20MICRONS,288.55,3,True
2024-11-01,20MICRONS,263.1,1,False
2024-11-08,20MICRONS,247.55,1,False
2024-11-15,20MICRONS,228.35,0,False
2024-11-22,20MICRONS,223.5,0,False
2024-11-29,20MICRONS,233.55,3,False
2024-12-06,20MICRONS,261.93,6,True
2024-12-13,20MICRONS,254.51,4,False
2024-12-20,20MICRONS,237.02,1,False
2024-12-27,20MICRONS,230.6,0,False
2025-01-03,20MICRONS,261.03,6,True
2025-01-10,20MICRONS,235.28,1,False
2025-01-17,20MICRONS,225.91,0,False
2025-01-24,20MICRONS,201.55,0,False
2025-01-31,20MICRONS,203.79,1,False
2025-02-07,20MICRONS,183.66,0,False
2025-02-14,20MICRONS,170.39,0,False
2025-02-21,20MICRONS,183.39,2,False
2025-02-28,20MICRONS,172.07,0,False
2025-03-07,20MICRONS,204.33,4,False
2025-03-14,20MICRONS,193.66,2,False
2025-03-21,20MICRONS,204.18,4,False
2025-03-28,20MICRONS,191.04,0,False
2025-04-04,20MICRONS,198.27,1,False
2025-04-11,20MICRONS,195.15,1,False
2025-04-18,20MICRONS,218.38,6,True
2025-04-25,20MICRONS,218.76,5,True
2025-05-02,20MICRONS,208.0,1,False
2025-05-09,20MICRONS,214.94,5,True
2025-05-16,20MICRONS,222.09,6,True
2025-05-23,20MICRONS,243.1,6,True
2025-05-30,20MICRONS,225.84,3,True
2025-06-06,20MICRONS,227.34,6,True
