symbol,name,cap,close,score
20MICRONS,20 Microns Limited,Microcap,201.41,6
AADHARHFC,Aadhar Housing Finance Limited,Smallcap,515.6,6
ABCAPITAL,Aditya Birla Capital Ltd,Midcap,391.95,6
ABDL,Allied Blenders and Distillers Limited,Smallcap,667.9,6
ACE,Action Construction Equipments Ltd.,Smallcap,1024.0,6
ACMESOLAR,ACME Solar Holdings Limited,Smallcap,380.55,6
ACUTAAS,ACUTAAS CHEMICALS LIMITED,Smallcap,3526.2,6
ADFFOODS,ADF Foods Limited.,Microcap,310.7,6
ADOR,Ador Welding Ltd.,Microcap,1269.2,6
AEGISLOG,Aegis Logistics Ltd.,Smallcap,1173.95,6
AEQUS,Aequs Limited,Microcap,234.65,6
AEROENTER,AEROFLEX ENTERPRISES LIMITED,Microcap,141.25,6
AETHER,Aether Industries Limited,Microcap,1359.1,6
AGARWALEYE,Dr. Agarwal's Health Care Limited,Smallcap,478.95,6
AIAENG,AIA Engineering Ltd.,Smallcap,5081.4,6
AJANTPHARM,Ajanta Pharma Ltd.,Smallcap,3422.7,6
AKUMS,Akums Drugs and Pharmaceuticals Limited,Microcap,623.15,6
ALIVUS,ALIVUS LIFE SCIENCES LIMITED,Microcap,1156.5,6
ALKEM,Alkem Laboratories Limited,Midcap,5570.0,6
AMBIKCO,Ambika Cotton Mills Ltd.,Microcap,1759.8,6
ANANDRATHI,Anand Rathi Wealth Limited,Smallcap,1976.7,6
ANUP,The Anup Engineering Ltd,Microcap,2331.3,6
APOLLO,Apollo Micro Systems Limited,Microcap,424.75,6
APOLLOPIPE,APOLLO PIPES LIMITED,Microcap,489.9,6
ARMANFIN,Arman Financial Services Limited,Microcap,1694.0,6
ARROWGREEN,Arrow Greentech Limited,Microcap,597.75,6
ARSSBL,ANAND RATHI SHARE AND STOCK BROKERS LIMITED,Microcap,554.25,6
ARTEMISMED,Artemis Medicare Services Limited,Microcap,264.95,6
ARVIND,Arvind Ltd.,Microcap,587.1,6
ARVINDFASN,Arvind Fashions Limited,Microcap,470.95,6
ASHIANA,Ashiana Housing Limited,Microcap,395.95,6
ASTERDM,Aster DM Healthcare Limited,Smallcap,784.45,6
ASTRAMICRO,Astra Microwave Products Ltd.,Microcap,1761.6,6
ATGL,ADANI TOTAL GAS LIMITED,Midcap,731.55,6
ATHERENERG,Ather Energy Limited,Smallcap,1140.55,6
ATULAUTO,Atul Auto Limited,Microcap,481.8,6
AUBANK,AU Small Finance Bank Limited,Midcap,1037.05,6
AUROPHARMA,Aurobindo Pharma Ltd.,Midcap,1578.7,6
AURUM,Aurum PropTech Limited,Microcap,225.67,6
AVALON,Avalon Technologies Limited,Microcap,1801.9,6
AVANTEL,Avantel Limited,Microcap,179.12,6
AVL,Aditya Vision Limited,Microcap,658.15,6
AYMSYNTEX,AYM Syntex Limited,Microcap,234.86,6
BAJAJCON,BAJAJ CONSUMER CARE LIMITED,Microcap,599.0,6
BALRAMCHIN,Balrampur Chini Mills Ltd.,Microcap,554.95,6
BANCOINDIA,Banco Products (India) Ltd.,Microcap,670.35,6
BANSALWIRE,Bansal Wire Industries Limited,Microcap,340.35,6
BBL,Bharat Bijlee Ltd.,Microcap,2884.9,6
BETA,Beta Drugs Ltd.,Microcap,2184.7,6
BHAGCHEM,Bhagiradha Chemicals and Industries,Microcap,291.05,6
BHARATFORG,Bharat Forge Ltd,Midcap,2144.1,6
BHARATSE,Bharat Seats Ltd,Microcap,189.87,6
